,"D1, kW","D2, kW","D3, kW","D4, kW","D5, kW","D6, kW","CH1, kW","dCH1, kW","CH2, kW","dCH2, kW","SOC1, %","SOC2, %","PV1, kW","PV2, kW","PV3, kW","PV4, kW","PV5, kW","PV6, kW","PV7, kW","Diesel, kW","ESS, kW","PV, kW","Load, kW"
0,0.0,0.0,0.0,0.0,0.0,-9.998890493356782e-09,1.267441195486776e-24,1.2186542733696297,2.0966384944664366e-24,1.2186542733696297,93.65284232619985,93.65284232619985,0.08038449475137585,0.08038449475137585,0.08038449475137585,0.08038449475137585,0.08038449475137585,0.08038449475137585,0.08038449475137585,-9.998890493356782e-09,2.4373085467392595,0.562691463259631,3.0
1,0.0,0.0,0.0,0.0,0.0,-9.998889716200665e-09,0.10321784642092587,0.0,0.10321784642092587,0.0,94.19043527630883,94.19043527630883,0.6009193861201061,0.6009193861201061,0.6009193861201061,0.6009193861201061,0.6009193861201061,0.6009193861201061,0.6009193861201061,-9.998889716200665e-09,-0.20643569284185173,4.206435702840742,4.0
2,0.0,0.0,0.0,0.0,0.0,-9.998891603579807e-09,0.13435602016647125,0.0,0.13435602016647125,0.0,94.89020621467587,94.89020621467587,0.3241017214759762,0.3241017214759762,0.3241017214759762,0.3241017214759762,0.3241017214759762,0.3241017214759762,0.3241017214759762,-9.998891603579807e-09,-0.2687120403329425,2.2687120503318337,2.0
3,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.1525458245815923,0.0,0.1525458245815923,0.0,95.684715717705,95.684715717705,0.32929880845172516,0.3292988084517251,0.3292988084517251,0.3292988084517251,0.3292988084517251,0.3292988084517251,0.3292988084517251,-9.998891492557505e-09,-0.3050916491631846,2.305091659162076,2.0
4,0.0,0.0,0.0,0.0,0.0,-9.998891048468295e-09,0.18150128102073704,0.0,0.18150128102073704,0.0,96.630034889688,96.630034889688,0.3375717960057665,0.3375717960057665,0.3375717960057665,0.3375717960057665,0.3375717960057665,0.3375717960057665,0.3375717960057665,-9.998891048468295e-09,-0.3630025620414741,2.363002572040365,2.0
5,0.0,0.0,0.0,0.0,0.0,-9.998890937445992e-09,0.23792536422269478,0.0,0.23792536422269478,0.0,97.86922949501454,97.86922949501454,0.3536929626348972,0.3536929626348972,0.3536929626348972,0.3536929626348972,0.3536929626348972,0.3536929626348972,0.3536929626348972,-9.998890937445992e-09,-0.47585072844538956,2.4758507384442803,2.0
6,0.0,0.0,0.0,0.0,0.0,-9.998891159490597e-09,8.817609053620753e-13,0.014549606549160753,8.817415950705706e-13,0.014549606549160753,97.79345029424225,97.79345029424225,0.42441439955747623,0.42441439955747623,0.42441439955747623,0.42441439955747623,0.42441439955747623,0.42441439955747623,0.42441439955747623,-9.998891159490597e-09,0.029099213096558003,2.9709007969023333,3.0
7,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,1.0137828050273076e-27,1.5000000049994457,89.98095026820347,89.98095026820347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
8,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,9.562905575790604e-28,1.5000000049994457,82.1684502421647,82.1684502421647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
9,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,0.0,1.5000000049994457,9.004342342429553e-28,1.5000000049994457,74.35595021612592,74.35595021612592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.998891492557505e-09,3.0000000099988915,0.0,3.0
